0,0,4162.692383,4204.102539,4296.922852,4200.512695,4152.05127,4159.871582,4182.436035,4162.05127,4153.974121,4151.922852,4134.615234,4165.897461,4078.846191,4177.436035
0.00390625,0,4163.077148,4194.871582,4296.538574,4200.384766,4152.179688,4158.333496,4186.282227,4168.205078,4156.922852,4153.077148,4136.153809,4166.410156,4083.974365,4177.05127
0.0078125,0,4166.410156,4185.897461,4296.666504,4201.153809,4151.794922,4156.922852,4188.205078,4172.94873,4161.025879,4154.615234,4137.307617,4167.436035,4090.384521,4177.94873
0.01171875,0,4170.897461,4182.436035,4297.436035,4203.717773,4152.563965,4156.538574,4188.077148,4174.358887,4165,4157.436035,4138.974121,4168.846191,4096.538574,4179.487305
0.015625,1,4174.615234,4189.743652,4298.077148,4207.436035,4154.743652,4157.307617,4186.794922,4172.820313,4167.436035,4161.538574,4141.666504,4170.128418,4101.025879,4180.256348
0.01953125,1,4176.410156,4207.436035,4297.563965,4210.384766,4156.153809,4158.846191,4186.025879,4170.641113,4168.333496,4165.769043,4144.615234,4171.153809,4103.846191,4179.358887
0.0234375,1,4176.922852,4226.410156,4296.153809,4210.384766,4155.128418,4160,4186.282227,4169.358887,4169.358887,4168.717773,4147.179688,4171.922852,4105.641113,4176.922852
0.02734375,1,4176.410156,4235.512695,4295.256348,4207.179688,4152.05127,4159.871582,4187.179688,4169.487305,4170.897461,4169.230957,4148.333496,4172.563965,4106.794922,4173.974121
0.03125,2,4175.128418,4230.128418,4295.897461,4202.436035,4149.102539,4158.333496,4187.692383,4170.128418,4171.538574,4167.05127,4147.307617,4172.436035,4107.05127,4171.794922
0.03515625,2,4172.94873,4215.641113,4296.794922,4199.615234,4148.333496,4156.025879,4186.538574,4169.871582,4169.487305,4162.692383,4143.974121,4170.897461,4105,4170.641113
0.0390625,2,4170.512695,4202.563965,4296.153809,4200.512695,4149.743652,4154.102539,4184.230957,4168.589844,4164.487305,4157.820313,4140,4167.692383,4100.512695,4169.358887
0.04296875,2,4168.461426,4197.436035,4293.333496,4203.205078,4151.922852,4153.717773,4182.307617,4166.794922,4159.487305,4154.230957,4137.436035,4163.589844,4095.128174,4167.94873
0.046875,3,4166.922852,4198.846191,4289.615234,4203.333496,4153.461426,4155.384766,4182.436035,4166.025879,4158.077148,4153.205078,4137.307617,4159.743652,4091.666748,4167.307617
0.05078125,3,4165.897461,4199.487305,4286.794922,4198.461426,4153.461426,4157.692383,4183.461426,4166.538574,4161.282227,4154.871582,4138.461426,4156.922852,4091.281982,4169.230957
0.0546875,3,4165.384766,4194.230957,4285.641113,4190,4151.794922,4159.487305,4183.717773,4167.436035,4166.666504,4158.205078,4138.974121,4155.512695,4093.461426,4173.846191
0.05859375,3,4165.641113,4184.358887,4286.025879,4183.461426,4149.871582,4159.743652,4182.05127,4167.692383,4170.128418,4160.897461,4138.205078,4155.384766,4096.666504,4179.615234
0.0625,4,4167.05127,4177.820313,4287.94873,4184.871582,4149.871582,4158.846191,4179.487305,4167.307617,4169.743652,4161.025879,4136.666504,4156.666504,4099.102539,4183.717773
0.06640625,4,4169.743652,4181.666504,4291.538574,4195.769043,4152.307617,4157.563965,4177.436035,4166.794922,4166.794922,4158.974121,4134.615234,4159.358887,4100.256348,4184.487305
0.0703125,4,4173.205078,4196.153809,4296.794922,4212.563965,4156.153809,4156.922852,4176.794922,4166.666504,4164.487305,4156.410156,4132.307617,4163.589844,4100.128418,4182.820313
0.07421875,4,4176.538574,4213.846191,4302.05127,4228.974121,4159.230957,4157.179688,4177.307617,4166.922852,4165.512695,4155.384766,4129.358887,4168.205078,4099.871582,4180.384766
0.078125,5,4178.717773,4225.384766,4304.358887,4240.128418,4160.512695,4157.563965,4178.077148,4166.922852,4168.717773,4156.153809,4125.641113,4171.025879,4099.871582,4178.461426
0.08203125,5,4178.974121,4226.538574,4301.025879,4245.769043,4160,4157.179688,4177.820313,4165.769043,4169.871582,4156.794922,4120.641113,4170.128418,4099.615234,4176.922852
0.0859375,5,4177.563965,4221.282227,4290.769043,4248.589844,4158.461426,4156.025879,4175.384766,4162.563965,4165.512695,4154.487305,4112.94873,4165.128418,4097.563965,4175.256348
0.08984375,5,4174.871582,4219.487305,4275.256348,4251.666504,4156.666504,4154.743652,4171.153809,4157.692383,4156.025879,4148.205078,4102.307617,4157.820313,4092.820557,4172.692383
0.09375,6,4171.538574,4228.589844,4258.461426,4256.025879,4154.871582,4154.487305,4167.179688,4152.820313,4145.769043,4140.128418,4090.641113,4151.410156,4086.025635,4169.230957
0.09765625,6,4168.589844,4248.077148,4245.769043,4261.153809,4153.589844,4155.128418,4166.025879,4149.743652,4140.256348,4133.974121,4081.666748,4148.205078,4079.230713,4165.128418
0.1015625,6,4167.05127,4268.205078,4241.025879,4265.256348,4154.102539,4156.282227,4169.230957,4149.743652,4141.666504,4132.692383,4078.333252,4148.589844,4075,4162.179688
0.10546875,6,4167.436035,4277.820313,4243.717773,4267.05127,4156.794922,4157.307617,4175.641113,4152.179688,4148.077148,4136.025879,4080.641113,4151.153809,4074.615479,4161.538574
0.109375,7,4168.974121,4272.436035,4248.846191,4266.153809,4160.384766,4157.307617,4182.05127,4155.384766,4154.743652,4141.025879,4086.153809,4153.717773,4077.307617,4163.717773
0.11328125,7,4170.256348,4256.282227,4250.512695,4263.461426,4161.794922,4156.410156,4184.615234,4156.922852,4157.692383,4144.358887,4090.897461,4154.743652,4080.897461,4167.436035
